,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
226,226,991,1177,670,775,349,572,1118,1105,809,616,1178,42,201,701,1306,1280,1045,533,516
227,227,398,1059,304,132,249,465,481,215,1234,496,1340,1445,228,494,459,231,332,1416,1350
228,228,1077,13,1028,352,26,21,398,1445,494,465,1385,1043,231,253,1378,318,841,867,758
229,144,530,524,702,425,650,468,506,1198,851,716,65,175,180,466,500,513,87,101,872
230,230,498,324,1077,511,848,975,497,304,1074,972,1028,348,231,299,805,620,253,26,1486
231,231,132,26,1077,13,609,304,1165,1028,228,74,118,494,875,319,230,1320,620,1486,1385
232,144,530,524,702,425,650,468,506,1198,851,716,65,175,180,466,500,513,87,101,872
233,233,120,1160,212,1027,236,1080,1142,224,858,1282,1163,242,23,438,881,178,222,663,1030
234,234,761,1077,557,253,428,394,1018,828,237,243,717,937,560,161,968,814,595,235,166
235,235,237,351,227,231,1246,441,394,132,238,1028,1077,893,392,1386,116,1003,829,1091,13
236,236,224,42,1104,909,2,73,670,794,212,1177,916,699,284,991,573,1076,703,1334,222
237,237,13,235,26,620,1077,205,227,574,459,299,231,498,1350,1227,608,1028,913,805,198
238,238,304,1028,328,499,1365,227,398,1386,421,1079,947,1417,657,1074,860,297,43,137,1422
239,144,530,524,702,425,650,468,506,1198,851,716,65,175,180,466,500,513,87,101,872
240,240,914,282,2,197,1104,12,538,23,236,844,1037,224,1334,27,358,42,909,17,606
241,241,794,236,1311,1191,224,1030,909,135,1080,585,120,212,1225,817,289,1414,233,952,284
242,242,212,120,1411,881,81,699,224,679,222,663,233,1303,952,236,1163,410,23,482,842
243,243,394,449,626,1091,841,1451,1077,1043,1079,13,648,929,1340,250,595,1173,334,1486,804
244,244,955,1077,146,1386,777,1320,706,1161,223,215,228,205,1167,786,208,133,394,13,661
245,245,604,305,783,606,125,277,613,218,809,877,583,561,678,538,748,629,27,12,1047
246,246,26,1182,1165,1486,505,805,1077,494,875,231,666,1161,1232,1444,821,799,372,1028,867
247,247,27,699,73,224,936,1142,899,914,537,909,344,1334,1145,982,879,809,1099,1086,1268
248,248,14,674,77,670,42,701,193,236,1105,501,627,1177,916,794,406,73,224,2,1076
249,249,304,498,1077,231,422,1265,465,132,494,978,404,215,123,26,228,230,1161,383,1365
250,250,827,334,1018,214,620,815,595,848,13,875,1171,26,937,1008,1091,828,1028,322,1077
